lylty_card_nbr,lifestage,premium_customer,total_sales,total_units,transactions,avg_spend_per_txn,last_purchase,recency_days,frequency,monetary
1000,YOUNG SINGLES/COUPLES,Premium,6,2,1,6,2018-10-17,256,1,6
1002,YOUNG SINGLES/COUPLES,Mainstream,2.7,1,1,2.7,2018-09-16,287,1,2.7
1003,YOUNG FAMILIES,Budget,6.6,2,2,3.3,2019-03-08,114,2,6.6
1004,OLDER SINGLES/COUPLES,Mainstream,1.9,1,1,1.9,2018-11-02,240,1,1.9
1005,MIDAGE SINGLES/COUPLES,Mainstream,2.8,1,1,2.8,2018-12-28,184,1,2.8
1007,YOUNG SINGLES/COUPLES,Budget,6.5,2,2,3.25,2018-12-05,207,2,6.5
1009,NEW FAMILIES,Premium,5.7,1,1,5.7,2018-11-20,222,1,5.7
1010,YOUNG SINGLES/COUPLES,Mainstream,8.8,2,1,8.8,2018-09-09,294,1,8.8
1011,OLDER SINGLES/COUPLES,Mainstream,12.9,4,3,4.3,2018-12-19,193,3,12.9
1012,OLDER FAMILIES,Mainstream,10.3,2,2,5.15,2019-06-19,11,2,10.3
1013,RETIREES,Budget,8.1,3,2,4.05,2019-03-07,115,2,8.1
1016,OLDER FAMILIES,Mainstream,8.600000000000001,2,2,4.300000000000001,2019-06-09,21,2,8.600000000000001
1018,YOUNG SINGLES/COUPLES,Mainstream,10,3,3,3.3333333333333335,2019-06-20,10,3,10
1019,OLDER SINGLES/COUPLES,Premium,3.1,1,1,3.1,2019-01-27,154,1,3.1
1020,YOUNG SINGLES/COUPLES,Mainstream,11.4,3,3,3.8000000000000003,2019-05-02,59,3,11.4
1022,OLDER FAMILIES,Budget,4.6,1,1,4.6,2018-10-24,249,1,4.6
1023,MIDAGE SINGLES/COUPLES,Premium,3,1,1,3,2019-05-27,34,1,3
1024,YOUNG SINGLES/COUPLES,Premium,3,1,1,3,2019-02-20,130,1,3
1025,YOUNG FAMILIES,Budget,6,2,1,6,2018-11-21,221,1,6
1026,MIDAGE SINGLES/COUPLES,Premium,2.1,1,1,2.1,2018-12-08,204,1,2.1
1027,OLDER FAMILIES,Premium,8.1,2,2,4.05,2018-08-13,321,2,8.1
1030,RETIREES,Mainstream,5.4,2,1,5.4,2019-06-23,7,1,5.4
1034,RETIREES,Premium,6.8,2,2,3.4,2019-03-29,93,2,6.8
1038,OLDER FAMILIES,Mainstream,6,2,1,6,2018-12-07,205,1,6
1039,YOUNG FAMILIES,Mainstream,3,1,1,3,2018-10-30,243,1,3
1042,YOUNG SINGLES/COUPLES,Premium,11.3,4,4,2.825,2019-04-23,68,4,11.3
1043,YOUNG FAMILIES,Budget,3.3,1,1,3.3,2019-02-16,134,1,3.3
1044,YOUNG FAMILIES,Mainstream,3,1,1,3,2019-06-30,0,1,3
1046,YOUNG SINGLES/COUPLES,Budget,4.2,1,1,4.2,2019-02-13,137,1,4.2
1048,OLDER FAMILIES,Mainstream,12.1,4,3,4.033333333333333,2019-01-24,157,3,12.1
1050,YOUNG FAMILIES,Budget,3,1,1,3,2019-04-13,78,1,3
1051,YOUNG SINGLES/COUPLES,Budget,5.8,2,1,5.8,2018-09-25,278,1,5.8
1052,MIDAGE SINGLES/COUPLES,Budget,3.3,1,1,3.3,2018-09-05,298,1,3.3
1053,MIDAGE SINGLES/COUPLES,Mainstream,9,2,2,4.5,2019-04-19,72,2,9
1054,NEW FAMILIES,Mainstream,7.5,2,2,3.75,2019-02-05,145,2,7.5
1055,RETIREES,Mainstream,2.6,1,1,2.6,2018-07-08,357,1,2.6
1056,MIDAGE SINGLES/COUPLES,Mainstream,3.9,1,1,3.9,2019-05-31,30,1,3.9
1057,MIDAGE SINGLES/COUPLES,Mainstream,11.100000000000001,2,2,5.550000000000001,2019-02-24,126,2,11.100000000000001
1060,YOUNG SINGLES/COUPLES,Mainstream,17.4,4,3,5.8,2019-05-06,55,3,17.4
1061,OLDER SINGLES/COUPLES,Budget,3.3,1,1,3.3,2019-04-25,66,1,3.3
1062,YOUNG FAMILIES,Premium,4.4,2,2,2.2,2019-02-10,140,2,4.4
1064,YOUNG FAMILIES,Budget,6.4,2,2,3.2,2019-02-22,128,2,6.4
1065,MIDAGE SINGLES/COUPLES,Premium,5.5,2,2,2.75,2018-09-24,279,2,5.5
1067,OLDER SINGLES/COUPLES,Mainstream,1.7,1,1,1.7,2018-10-27,246,1,1.7
1068,YOUNG SINGLES/COUPLES,Premium,4.6,2,2,2.3,2019-01-10,171,2,4.6
1071,YOUNG FAMILIES,Mainstream,4.6,1,1,4.6,2019-01-19,162,1,4.6
1072,NEW FAMILIES,Premium,7.5,3,2,3.75,2019-04-04,87,2,7.5
1074,RETIREES,Budget,2.6,1,1,2.6,2019-01-18,163,1,2.6
1076,YOUNG SINGLES/COUPLES,Budget,2.6,1,1,2.6,2019-05-16,45,1,2.6
1077,OLDER SINGLES/COUPLES,Premium,4.6,2,1,4.6,2019-05-16,45,1,4.6
1080,RETIREES,Budget,7.9,3,3,2.6333333333333333,2019-06-18,12,3,7.9
1081,MIDAGE SINGLES/COUPLES,Budget,11.299999999999999,4,3,3.766666666666666,2019-03-19,103,3,11.299999999999999
1086,YOUNG SINGLES/COUPLES,Budget,3.8,1,1,3.8,2019-02-13,137,1,3.8
1087,RETIREES,Premium,7.4,2,2,3.7,2019-04-10,81,2,7.4
1088,YOUNG SINGLES/COUPLES,Budget,3.8,1,1,3.8,2018-09-18,285,1,3.8
1089,RETIREES,Mainstream,3,1,1,3,2019-03-23,99,1,3
1090,OLDER FAMILIES,Budget,3,1,1,3,2019-04-27,64,1,3
1091,NEW FAMILIES,Budget,4.2,2,1,4.2,2019-02-05,145,1,4.2
1093,RETIREES,Premium,3.4,2,1,3.4,2018-12-26,186,1,3.4
1094,NEW FAMILIES,Budget,15,4,3,5,2019-04-10,81,3,15
1095,RETIREES,Mainstream,3,1,1,3,2019-01-10,171,1,3
1096,OLDER SINGLES/COUPLES,Premium,3.7,1,1,3.7,2018-07-02,363,1,3.7
1097,RETIREES,Budget,15.5,4,3,5.166666666666667,2019-05-05,56,3,15.5
1099,OLDER SINGLES/COUPLES,Premium,6.2,2,2,3.1,2019-02-25,125,2,6.2
1101,RETIREES,Mainstream,3,1,1,3,2018-07-17,348,1,3
1102,OLDER FAMILIES,Budget,2.1,1,1,2.1,2018-07-20,345,1,2.1
1103,OLDER FAMILIES,Budget,2.9,1,1,2.9,2019-03-06,116,1,2.9
1104,RETIREES,Mainstream,22.700000000000003,5,4,5.675000000000001,2019-05-23,38,4,22.700000000000003
1105,RETIREES,Premium,2.1,1,1,2.1,2019-03-28,94,1,2.1
1107,OLDER SINGLES/COUPLES,Mainstream,2.9,1,1,2.9,2018-07-09,356,1,2.9
1108,RETIREES,Mainstream,2.6,1,1,2.6,2019-04-23,68,1,2.6
1109,OLDER SINGLES/COUPLES,Mainstream,2.9,1,1,2.9,2018-12-17,195,1,2.9
1111,RETIREES,Premium,4.2,2,1,4.2,2018-10-04,269,1,4.2
1113,YOUNG SINGLES/COUPLES,Mainstream,4.4,1,1,4.4,2019-03-26,96,1,4.4
1114,OLDER FAMILIES,Premium,7.3,2,2,3.65,2018-09-19,284,2,7.3
1115,RETIREES,Premium,6,2,1,6,2019-04-10,81,1,6
1116,OLDER SINGLES/COUPLES,Premium,18.5,4,3,6.166666666666667,2019-04-17,74,3,18.5
1118,RETIREES,Mainstream,9.3,4,3,3.1,2019-05-07,54,3,9.3
1120,YOUNG SINGLES/COUPLES,Mainstream,4.4,1,1,4.4,2018-09-23,280,1,4.4
1121,OLDER SINGLES/COUPLES,Premium,4.9,2,2,2.45,2019-05-12,49,2,4.9
1122,OLDER SINGLES/COUPLES,Budget,7.4,2,1,7.4,2018-08-08,326,1,7.4
1123,MIDAGE SINGLES/COUPLES,Mainstream,1.9,1,1,1.9,2019-02-04,146,1,1.9
1124,RETIREES,Mainstream,3,1,1,3,2019-06-27,3,1,3
1125,OLDER SINGLES/COUPLES,Premium,5.8,2,1,5.8,2018-11-12,230,1,5.8
1127,RETIREES,Mainstream,2.1,1,1,2.1,2019-04-24,67,1,2.1
1133,YOUNG FAMILIES,Budget,2.7,1,1,2.7,2019-03-15,107,1,2.7
1134,RETIREES,Mainstream,10.3,3,3,3.4333333333333336,2019-05-26,35,3,10.3
1136,OLDER FAMILIES,Budget,2.1,1,1,2.1,2019-02-02,148,1,2.1
1139,OLDER SINGLES/COUPLES,Premium,6.1,2,2,3.05,2019-06-25,5,2,6.1
1140,RETIREES,Mainstream,8.8,2,1,8.8,2018-07-09,356,1,8.8
1141,YOUNG SINGLES/COUPLES,Mainstream,7.6,2,2,3.8,2018-12-03,209,2,7.6
1142,OLDER FAMILIES,Premium,8.600000000000001,3,2,4.300000000000001,2019-04-22,69,2,8.600000000000001
